player_ID speed_zone number_of_runs total_distance
201599 slow 609 3627.62
201599 normal 622 4856.3
201599 fast 40 107.0
201600 slow 271 1529.08
201600 normal 277 2257.98
201600 fast 14 36.51
201603 slow 257 1194.98
201603 normal 253 2258.99
201603 fast 14 41.16
201609 slow 940 4305.5
201609 normal 946 7986.84
201609 fast 41 117.83
201619 slow 407 2096.85
201619 normal 418 2857.32
201619 fast 25 103.35
201933 slow 635 3734.15
201933 normal 646 4897.7
201933 fast 39 115.48
201935 slow 553 3159.8
201935 normal 563 4358.93
201935 fast 29 79.05
201936 slow 269 1429.79
201936 normal 271 2154.22
201936 fast 13 29.94
201937 slow 242 889.31
201937 normal 246 2012.38
201937 fast 14 47.45
201939 slow 12923 60455.09
201939 normal 13025 109706.83
201939 fast 686 2005.13
201941 slow 661 2928.99
201941 normal 679 5075.35
201941 fast 51 130.64
201942 slow 1410 7254.82
201942 normal 1417 11190.88
201942 fast 64 205.6
201945 slow 336 1562.29
201945 normal 339 3169.32
201945 fast 16 46.95
201946 slow 89 469.3
201946 normal 91 872.24
201946 fast 7 19.9
201949 slow 378 1821.22
201949 normal 385 3207.01
201949 fast 17 45.34
201950 slow 470 2125.12
201950 normal 479 4201.56
201950 fast 29 96.94
201951 slow 194 886.79
201951 normal 198 1825.53
201951 fast 15 49.5
201952 slow 158 887.67
201952 normal 169 1589.35
201952 fast 17 60.18
201954 slow 956 4053.89
201954 normal 962 7821.34
201954 fast 47 250.01
201956 slow 916 4207.77
201956 normal 929 7806.06
201956 fast 49 144.11
201959 slow 583 2658.44
201959 normal 590 4616.83
201959 fast 22 96.02
201960 slow 925 4808.32
201960 normal 938 8202.31
201960 fast 60 199.85
201961 slow 360 1650.8
201961 normal 359 3470.59
201961 fast 10 35.37
201962 slow 242 904.37
201962 normal 251 2302.33
201962 fast 10 21.58
201967 slow 772 3543.34
201967 normal 777 7849.29
201967 fast 24 81.74
201973 slow 135 741.22
201973 normal 142 1151.56
201973 fast 9 24.79
201976 slow 527 2097.33
201976 normal 532 5228.92
201976 fast 23 65.48
201977 slow 368 2137.7
201977 normal 375 3084.89
201977 fast 14 42.59
201978 slow 471 2370.11
201978 normal 476 4196.16
201978 fast 19 55.46
202066 slow 491 2532.99
202066 normal 492 4759.46
202066 fast 31 100.85
202083 slow 556 2652.25
202083 normal 562 4945.19
202083 fast 22 67.88
202087 slow 508 2581.36
202087 normal 509 5036.88
202087 fast 18 54.33
202322 slow 643 3448.29
202322 normal 661 5503.04
202322 fast 50 136.56
202323 slow 595 3125.83
202323 normal 604 4763.24
202323 fast 23 78.61
202324 slow 990 4883.1
202324 normal 1001 7798.34
202324 fast 52 219.05
202325 slow 243 1127.72
202325 normal 247 2321.83
202325 fast 11 52.1
202326 slow 402 2078.66
202326 normal 398 2807.37
202326 fast 25 78.34
202328 slow 1181 6859.36
202328 normal 1192 8694.8
202328 fast 72 235.39
202329 slow 724 2861.5
202329 normal 732 6450.74
202329 fast 42 164.14
202330 slow 993 4522.13
202330 normal 1000 9041.01
202330 fast 40 124.36
202331 slow 1093 4636.45
202331 normal 1106 8875.79
202331 fast 65 182.93
202334 slow 588 2425.51
202334 normal 603 4122.12
202334 fast 31 73.28
202335 slow 1007 4666.43
202335 normal 1021 6837.45
202335 fast 80 283.28
202337 slow 329 1534.21
202337 normal 337 3294.07
202337 fast 14 49.88
202338 slow 110 450.41
202338 normal 111 944.35
202338 fast 6 14.03
202339 slow 639 2832.01
202339 normal 653 5715.18
202339 fast 46 102.67
202340 slow 652 3220.17
202340 normal 650 5478.41
202340 fast 21 56.63
202341 slow 433 1712.12
202341 normal 429 3976.45
202341 fast 16 68.7
202344 slow 594 2414.85
202344 normal 606 4990.52
202344 fast 39 105.79
202349 slow 418 1723.73
202349 normal 428 3041.99
202349 fast 35 120.31
202355 slow 454 2629.99
202355 normal 456 4016.52
202355 fast 25 68.83
202357 slow 424 1794.46
202357 normal 437 3763.9
202357 fast 28 126.89
202362 slow 216 974.86
202362 normal 218 1944.04
202362 fast 5 16.54
202379 slow 54 244.36
202379 normal 56 514.83
202379 fast 4 7.91
202388 slow 247 1097.28
202388 normal 250 2017.92
202388 fast 9 18.76
202389 slow 5913 25943.04
202389 normal 6014 47687.42
202389 fast 292 1099.65
202390 slow 180 969.73
202390 normal 178 1573.17
202390 fast 13 39.94
202391 slow 641 2798.85
202391 normal 648 5608.62
202391 fast 23 78.62
202397 slow 932 3572.93
202397 normal 947 7400.16
202397 fast 53 174.61
202498 slow 614 2706.26
202498 normal 620 5004.32
202498 fast 22 102.12
202681 slow 2835 14180.62
202681 normal 2846 22515.1
202681 fast 154 441.0
202682 slow 410 2100.22
202682 normal 414 3383.2
202682 fast 27 90.65
202683 slow 136 636.86
202683 normal 142 1177.51
202683 fast 19 60.92
202684 slow 9706 45207.14
202684 normal 9869 75610.01
202684 fast 620 2145.64
202685 slow 516 2650.08
202685 normal 529 3883.92
202685 fast 34 97.99
202687 slow 681 3146.32
202687 normal 700 5164.02
202687 fast 56 205.94
202688 slow 928 4142.18
202688 normal 936 8665.98
202688 fast 38 101.74
202689 slow 1037 4446.38
202689 normal 1052 8397.54
202689 fast 51 177.81
202691 slow 11964 63288.46
202691 normal 11989 107227.18
202691 fast 429 1520.76
202692 slow 876 4041.93
202692 normal 882 7323.83
202692 fast 37 85.68
202693 slow 150 809.56
202693 normal 146 1192.72
202693 fast 8 24.89
202694 slow 661 3470.0
202694 normal 669 6130.3
202694 fast 32 114.54
202696 slow 559 2562.3
202696 normal 564 4354.09
202696 fast 34 90.48
202697 slow 3539 16779.96
202697 normal 3566 32804.35
202697 fast 166 545.19
202699 slow 539 2568.15
202699 normal 557 4938.94
202699 fast 44 101.58
202700 slow 50 270.04
202700 normal 52 515.79
202700 fast 1 5.28
202702 slow 954 4594.71
202702 normal 964 7380.21
202702 fast 46 191.74
202703 slow 791 3146.92
202703 normal 805 6438.41
202703 fast 55 166.79
202704 slow 648 2778.46
202704 normal 657 5098.65
202704 fast 27 77.64
202708 slow 125 635.34
202708 normal 125 1046.59
202708 fast 4 12.49
202709 slow 1024 3838.9
202709 normal 1053 8368.88
202709 fast 72 268.24
202710 slow 1129 4816.16
202710 normal 1132 9447.37
202710 fast 45 133.76
202711 slow 750 3613.87
202711 normal 753 6520.5
202711 fast 30 96.77
202713 slow 112 659.64
202713 normal 111 1040.94
202713 fast 1 4.59
202714 slow 41 189.88
202714 normal 46 431.76
202714 fast 4 15.64
202718 slow 573 2846.03
202718 normal 577 5375.69
202718 fast 23 74.73
202720 slow 492 2214.78
202720 normal 506 3952.01
202720 fast 30 114.61
202730 slow 536 2509.48
202730 normal 547 3936.12
202730 fast 35 107.52
202734 slow 598 2187.21
202734 normal 614 5122.43
202734 fast 33 101.42
202738 slow 721 3315.8
202738 normal 737 5696.47
202738 fast 50 155.39
203076 slow 1111 5402.39
203076 normal 1114 8108.36
203076 fast 63 200.13
203078 slow 316 1641.35
203078 normal 316 2989.35
203078 fast 15 79.18
203079 slow 112 799.42
203079 normal 110 1232.86
203079 fast 11 28.65
203080 slow 156 939.19
203080 normal 160 1190.6
203080 fast 12 31.27
203081 slow 692 3352.91
203081 normal 694 5849.82
203081 fast 38 118.15
203082 slow 390 1979.31
203082 normal 398 3700.3
203082 fast 21 100.98
203083 slow 716 3603.47
203083 normal 720 5321.03
203083 fast 34 96.73
203084 slow 7313 33707.63
203084 normal 7381 64488.3
203084 fast 360 1285.01
203085 slow 471 2067.84
203085 normal 480 4411.28
203085 fast 20 66.15
203086 slow 585 2627.36
203086 normal 595 3903.46
203086 fast 37 105.17
203087 slow 753 3603.76
203087 normal 757 6495.76
203087 fast 27 101.43
203088 slow 199 729.91
203088 normal 205 1547.2
203088 fast 13 26.16
203089 slow 437 1991.45
203089 normal 448 3335.34
203089 fast 25 72.41
203090 slow 525 2462.69
203090 normal 538 4844.26
203090 fast 41 129.77
203092 slow 23 148.49
203092 normal 24 188.36
203092 fast 2 7.85
203093 slow 334 1653.24
203093 normal 341 2431.11
203093 fast 21 67.14
203094 slow 670 3223.32
203094 normal 693 5191.84
203094 fast 37 92.7
203095 slow 593 2542.23
203095 normal 602 5720.58
203095 fast 35 110.95
203096 slow 461 2694.43
203096 normal 466 3723.76
203096 fast 27 90.67
203098 slow 57 216.62
203098 normal 60 486.15
203098 fast 6 10.66
203099 slow 3092 13543.56
203099 normal 3163 27378.87
203099 fast 188 570.1
203100 slow 147 661.24
203100 normal 146 1325.9
203100 fast 11 31.36
203101 slow 234 988.49
203101 normal 239 1723.14
203101 fast 12 56.67
203105 slow 7232 31042.93
203105 normal 7321 52272.88
203105 fast 360 1226.33
203109 slow 685 3723.3
203109 normal 692 5870.19
203109 fast 29 78.57
203110 slow 12660 64733.62
203110 normal 12890 98139.41
203110 fast 875 2678.78
203112 slow 802 3542.03
203112 normal 807 6131.88
203112 fast 41 184.72
203114 slow 1334 6784.13
203114 normal 1341 11237.69
203114 fast 70 198.84
203115 slow 1699 7910.34
203115 normal 1729 14886.54
203115 fast 87 353.54
203118 slow 18 135.16
203118 normal 18 185.35
203118 fast 2 2.57
203123 slow 207 1043.01
203123 normal 211 2095.37
203123 fast 9 52.33
203124 slow 144 889.55
203124 normal 149 1284.35
203124 fast 8 15.03
203138 slow 837 4496.3
203138 normal 853 8541.77
203138 fast 46 127.27
203141 slow 498 2445.26
203141 normal 499 4394.1
203141 fast 40 129.23
203148 slow 396 1544.27
203148 normal 402 3118.51
203148 fast 15 54.91
203186 slow 198 828.27
203186 normal 204 1681.12
203186 fast 18 61.13
203187 slow 9 68.09
203187 normal 10 99.59
203187 fast 0 0.0
203200 slow 103 528.55
203200 normal 107 956.99
203200 fast 7 15.8
203210 slow 637 2871.3
203210 normal 654 5317.24
203210 fast 30 99.46
203382 slow 218 967.43
203382 normal 222 1574.89
203382 fast 10 37.62
203457 slow 1241 5953.28
203457 normal 1258 9586.04
203457 fast 86 262.46
203458 slow 486 2356.08
203458 normal 503 4062.47
203458 fast 35 131.12
203459 slow 885 4431.69
203459 normal 897 7976.77
203459 fast 43 106.7
203460 slow 170 741.8
203460 normal 175 1539.84
203460 fast 15 38.65
203462 slow 211 1013.95
203462 normal 218 2158.71
203462 fast 16 60.04
203463 slow 1005 3860.75
203463 normal 1007 9138.96
203463 fast 45 192.8
203468 slow 991 4354.04
203468 normal 1005 9134.87
203468 fast 52 153.73
203469 slow 671 2830.8
203469 normal 674 5752.22
203469 fast 15 71.28
203471 slow 134 590.3
203471 normal 137 1087.25
203471 fast 9 25.96
203473 slow 417 2282.92
203473 normal 432 3276.48
203473 fast 27 62.78
203476 slow 377 1593.17
203476 normal 381 2551.09
203476 fast 20 68.4
203477 slow 630 2984.3
203477 normal 640 5661.2
203477 fast 34 103.66
203481 slow 156 604.84
203481 normal 160 1101.36
203481 fast 6 20.42
203482 slow 521 2823.53
203482 normal 529 4488.82
203482 fast 34 101.44
203484 slow 707 3386.36
203484 normal 713 6193.05
203484 fast 31 95.9
203486 slow 667 2839.15
203486 normal 666 5527.99
203486 fast 33 112.18
203487 slow 1381 5691.55
203487 normal 1389 10647.48
203487 fast 89 266.66
203488 slow 158 709.04
203488 normal 162 1270.89
203488 fast 14 88.01
203490 slow 665 2860.51
203490 normal 673 5809.12
203490 fast 39 178.43
203493 slow 49 206.33
203493 normal 50 657.94
203493 fast 1 0.74
203496 slow 699 3618.94
203496 normal 722 5794.45
203496 fast 46 137.73
203497 slow 816 3376.71
203497 normal 819 5477.24
203497 fast 41 141.15
203498 slow 437 1766.69
203498 normal 442 4273.75
203498 fast 15 122.6
203499 slow 550 2298.83
203499 normal 557 4722.71
203499 fast 31 98.76
203500 slow 211 981.37
203500 normal 215 1610.53
203500 fast 21 57.92
203503 slow 782 3545.18
203503 normal 791 7031.75
203503 fast 24 48.78
203504 slow 697 3154.89
203504 normal 707 6431.05
203504 fast 35 123.9
203506 slow 510 2132.13
203506 normal 516 5015.7
203506 fast 17 51.77
203507 slow 1534 7481.03
203507 normal 1552 11965.41
203507 fast 88 253.85
203508 slow 41 195.66
203508 normal 41 501.71
203508 fast 0 0.0
203512 slow 271 1354.53
203512 normal 279 1972.22
203512 fast 16 56.54
203515 slow 69 287.3
203515 normal 71 624.74
203515 fast 4 9.0
203516 slow 11 87.73
203516 normal 12 104.8
203516 fast 0 0.0
203521 slow 9155 39092.92
203521 normal 9323 74990.08
203521 fast 636 1939.89
203524 slow 422 1850.7
203524 normal 430 3609.91
203524 fast 23 66.29
203526 slow 453 1618.41
203526 normal 463 3821.25
203526 fast 22 76.41
203527 slow 195 976.23
203527 normal 199 1526.13
203527 fast 17 52.84
203530 slow 232 1015.4
203530 normal 235 1743.99
203530 fast 12 30.97
203546 slow 3936 16426.26
203546 normal 3991 31184.58
203546 fast 193 658.33
203552 slow 404 1663.0
203552 normal 403 3298.5
203552 fast 17 65.04
203584 slow 84 408.15
203584 normal 87 749.41
203584 fast 3 7.74
203798 slow 404 2016.97
203798 normal 411 3600.39
203798 fast 12 78.31
203893 slow 286 1066.85
203893 normal 290 2577.99
203893 fast 12 27.26
203894 slow 606 2695.61
203894 normal 633 5183.11
203894 fast 39 98.31
203897 slow 498 1935.06
203897 normal 502 4139.1
203897 fast 28 129.52
203900 slow 340 1513.35
203900 normal 346 3042.83
203900 fast 10 26.2
203901 slow 561 1988.29
203901 normal 566 4724.87
203901 fast 33 99.58
203903 slow 964 3763.21
203903 normal 972 8337.59
203903 fast 40 133.14
203909 slow 35 196.33
203909 normal 36 331.88
203909 fast 2 2.23
203914 slow 1526 7343.29
203914 normal 1537 15740.01
203914 fast 63 245.75
203915 slow 122 519.33
203915 normal 124 986.93
203915 fast 6 19.79
203917 slow 797 3922.7
203917 normal 804 7628.23
203917 fast 45 150.82
203918 slow 986 4499.3
203918 normal 990 8567.1
203918 fast 44 155.5
203919 slow 150 663.81
203919 normal 154 1407.52
203919 fast 6 19.31
203921 slow 74 377.73
203921 normal 78 622.95
203921 fast 6 9.3
203922 slow 463 1889.43
203922 normal 463 4374.28
203922 fast 17 48.63
203923 slow 351 1564.08
203923 normal 351 3096.69
203923 fast 11 27.5
203924 slow 859 4161.96
203924 normal 881 7871.9
203924 fast 65 224.57
203925 slow 121 667.6
203925 normal 129 1252.82
203925 fast 6 16.43
203926 slow 650 2725.58
203926 normal 654 6597.27
203926 fast 20 53.74
203932 slow 715 3293.27
203932 normal 727 7060.72
203932 fast 38 126.43
203933 slow 928 4330.04
203933 normal 936 8581.47
203933 fast 39 137.42
203934 slow 165 774.25
203934 normal 169 1428.57
203934 fast 5 13.75
203939 slow 285 1017.08
203939 normal 290 2511.02
203939 fast 14 57.11
203940 slow 24 164.47
203940 normal 26 213.29
203940 fast 0 0.0
203943 slow 515 2108.62
203943 normal 525 3955.04
203943 fast 25 84.0
203944 slow 700 3317.98
203944 normal 705 5377.21
203944 fast 35 113.37
203946 slow 28 119.8
203946 normal 31 335.34
203946 fast 4 9.01
203948 slow 395 1585.23
203948 normal 400 3277.65
203948 fast 22 64.95
203949 slow 1605 6256.13
203949 normal 1648 12435.58
203949 fast 82 270.95
203952 slow 709 3097.6
203952 normal 712 5511.71
203952 fast 28 164.92
203953 slow 1072 4957.66
203953 normal 1080 9919.13
203953 fast 56 232.54
203960 slow 410 1823.71
203960 normal 417 3907.06
203960 fast 18 45.23
203961 slow 95 419.16
203961 normal 94 730.08
203961 fast 4 19.91
203991 slow 352 1703.76
203991 normal 351 2814.23
203991 fast 16 64.83
203994 slow 215 909.63
203994 normal 216 1584.23
203994 fast 15 47.28
203999 slow 891 4169.79
203999 normal 906 6920.07
203999 fast 41 128.35
204001 slow 766 3662.18
204001 normal 762 6466.56
204001 fast 31 95.48
204014 slow 6 96.04
204014 normal 6 33.16
204014 fast 0 0.0
204020 slow 595 2317.66
204020 normal 610 5145.24
204020 fast 42 114.28
204025 slow 288 1201.0
204025 normal 301 2266.08
204025 fast 15 37.72
204028 slow 386 1555.58
204028 normal 392 2943.13
204028 fast 22 59.98
204038 slow 775 3173.14
204038 normal 779 6468.5
204038 fast 56 154.91
204060 slow 442 1795.37
204060 normal 452 3961.96
204060 fast 21 79.39
204067 slow 68 343.7
204067 normal 67 693.59
204067 fast 2 19.97
204456 slow 665 2629.63
204456 normal 696 6293.94
204456 fast 51 137.85
1626143 slow 932 5225.28
1626143 normal 943 8135.36
1626143 fast 61 192.04
1626144 slow 810 3447.44
1626144 normal 818 7411.09
1626144 fast 40 146.38
1626145 slow 9 69.47
1626145 normal 9 66.44
1626145 fast 0 0.0
1626147 slow 53 237.93
1626147 normal 55 596.98
1626147 fast 2 2.85
1626148 slow 506 2385.85
1626148 normal 511 4748.67
1626148 fast 20 82.54
1626149 slow 82 428.31
1626149 normal 82 652.97
1626149 fast 7 13.77
1626151 slow 55 291.81
1626151 normal 57 637.26
1626151 fast 1 2.23
1626153 slow 32 107.06
1626153 normal 34 205.62
1626153 fast 2 8.64
1626154 slow 19 124.94
1626154 normal 20 197.12
1626154 fast 0 0.0
1626156 slow 595 2328.6
1626156 normal 595 4772.93
1626156 fast 35 113.73
1626157 slow 614 2872.95
1626157 normal 622 4809.77
1626157 fast 35 206.75
1626158 slow 336 1760.99
1626158 normal 342 2723.5
1626158 fast 26 75.13
1626159 slow 529 2688.76
1626159 normal 542 5132.17
1626159 fast 27 111.01
1626161 slow 520 2327.59
1626161 normal 526 4070.84
1626161 fast 26 124.82
1626162 slow 94 494.8
1626162 normal 95 961.88
1626162 fast 8 35.88
1626163 slow 737 3224.27
1626163 normal 753 6048.4
1626163 fast 31 87.82
1626164 slow 532 2779.16
1626164 normal 532 5086.12
1626164 fast 19 73.3
1626167 slow 472 2128.23
1626167 normal 477 3808.78
1626167 fast 33 96.72
